,run,root,Image1,Image2,IT_root_im1,IT_root_im2,IT_im1_im2,V2_root_im1,V2_root_im2,V2_im1_im2,cat_root,cat_im1,cat_im2,concept_root,concept_im1,concept_im2,V2_im2_minus_im1,IT_im2_minus_im1,IT_most_similar,V2_most_similar,left_right,LeftIm,RightIm,IT_most_similar_lr,V2_most_similar_lr,rew_probs,block_order,sub,resp,semantic_resp,choice_rt,semantic_rt,choice,choice_bin,resp_bin,decision_dur,run_mode,root_times,choice_times,feedback_times,rew,isi_root,isi_choice,iti,bank,choice_incl_late_responses,choice_bin_incl_late_responses,resp_bin_incl_late_responses,choice_rt_incl_late_responses
34,2,280_1.jpg,280_2.jpg,280_3.jpg,-0.336044795,0.760743555,-0.24293698100000002,0.031802002999999995,0.021905776000000002,0.041216677,paper_towel,root,spam,Unclassified,Unclassified,food,-0.009896227000000004,1.09678835,im2,im1,left,280_2.jpg,280_3.jpg,right,left,0.65,IT,f01,1,2,0.5119064709997474,0.7057100550000541,Image1,0.0,1.0,0.75,behavior,155.21595410400005,161.23326724800017,166.99944510500018,1.0,4,5,5,12,Image1,0.0,1.0,0.5119064709997474
35,2,176_1.jpg,176_2.jpg,176_3.jpg,-0.085687101,0.8858089570000001,0.06538098099999999,0.028284300000000002,0.146624531,0.040276735,towel,chute,towel,Unclassified,Unclassified,Unclassified,0.11834023099999999,0.971496058,im2,im2,left,176_2.jpg,176_3.jpg,right,right,0.65,IT,f01,2,2,0.36870392399987395,0.5686169959999461,Image2,1.0,0.0,0.75,behavior,173.0166365949999,179.03278120599998,184.80016915999977,1.0,4,5,6,12,Image2,1.0,0.0,0.36870392399987395
36,2,98_1.jpg,98_2.jpg,98_3.jpg,-0.400573061,0.8134602940000001,-0.395342944,0.027926354,0.162484834,0.01767992,cornmeal,roof_rack,grapefruit,food,Unclassified,fruit,0.13455847999999998,1.214033355,im2,im2,left,98_2.jpg,98_3.jpg,right,right,0.65,IT,f01,2,2,0.48766359899991585,0.6492699650002578,Image2,1.0,0.0,0.75,behavior,191.81627515899982,196.83350529200015,203.5995292980001,0.0,3,6,9,12,Image2,1.0,0.0,0.48766359899991585
37,2,5_1.jpg,5_2.jpg,5_3.jpg,0.169581597,0.28517740199999997,-0.008113298,0.125528209,0.030488348,0.053019699,orange_rind,duckling,stove1,Unclassified,animal,animal,-0.09503986099999999,0.11559580500000002,im2,im1,right,5_3.jpg,5_2.jpg,left,right,0.65,IT,f01,2,2,0.5599173040000096,0.7209316339999532,Image1,0.0,0.0,0.75,behavior,213.616404935,218.63336680200018,222.39951618899977,0.0,3,3,3,12,Image1,0.0,0.0,0.5599173040000096
38,2,130_1.jpg,130_2.jpg,130_3.jpg,-0.13773453300000002,0.34700807899999997,-0.155376353,0.040372382000000005,0.053060935999999996,0.057391514000000005,stir_fry,yak,soda,Unclassified,animal,food,0.012688554000000005,0.484742612,im2,im2,right,130_3.jpg,130_2.jpg,left,left,0.65,IT,f01,1,2,0.44831809600009365,0.6088655069997913,Image2,1.0,1.0,0.75,behavior,226.41680821,233.43325269199977,239.19936711299988,1.0,5,5,6,12,Image2,1.0,1.0,0.44831809600009365
39,2,38_1.jpg,38_2.jpg,38_3.jpg,0.046785759,0.540086239,-0.027910155,0.179517135,0.043276037,0.054814355,horse,beaver,hula_hoop,animal,animal,Unclassified,-0.136241098,0.49330048,im2,im1,right,38_3.jpg,38_2.jpg,left,right,0.65,IT,f01,2,1,0.41607881100026134,0.6888203720000092,Image1,0.0,0.0,0.75,behavior,246.2167916620001,252.23327420399983,256.99963372499997,0.0,4,4,3,12,Image1,0.0,0.0,0.41607881100026134
40,2,155_1.jpg,155_2.jpg,155_3.jpg,-0.111583283,0.616993081,-0.129723626,0.129934945,0.038944295,0.055459892000000004,ribbon,lion,seahorse,Unclassified,animal,animal,-0.09099065,0.728576364,im2,im1,left,155_2.jpg,155_3.jpg,right,left,0.65,IT,f01,1,2,0.41621710699973846,0.7446203920003427,Image1,0.0,1.0,0.75,behavior,261.01670290699985,268.03337392000003,271.79950889600013,1.0,5,3,5,12,Image1,0.0,1.0,0.41621710699973846
41,2,224_1.jpg,224_2.jpg,224_3.jpg,0.181708554,0.544371959,0.392030764,-0.002468264,0.06767799099999999,0.051170464000000006,incense,drill,can_opener,Unclassified,tool,tool,0.070146255,0.3626634050000001,im2,im2,right,224_3.jpg,224_2.jpg,left,left,0.65,IT,f01,1,2,0.5524727849997362,0.6572174480002104,Image2,1.0,1.0,0.75,behavior,277.81635983199976,283.83270678300005,289.6000253279999,0.0,4,5,2,12,Image2,1.0,1.0,0.5524727849997362
42,2,73_1.jpg,73_2.jpg,73_3.jpg,-0.292355237,0.6753972770000001,-0.292120855,0.114227317,0.056940671,0.053263890999999994,steering_wheel,mushroom,drill,Unclassified,Unclassified,tool,-0.057286646,0.9677525140000001,im2,im1,right,73_3.jpg,73_2.jpg,left,right,0.65,IT,f01,1,2,0.3677968649999457,0.6977244019999489,Image2,1.0,1.0,0.75,behavior,292.615925566,300.633451446,306.3995647749998,0.0,6,5,3,12,Image2,1.0,1.0,0.3677968649999457
43,2,83_1.jpg,83_2.jpg,83_3.jpg,-0.37706657,0.722795282,-0.36132821600000004,0.159024377,0.098466908,0.043171796,cot,slug,treadmill,furniture,animal,Unclassified,-0.06055746899999999,1.099861852,im2,im1,right,83_3.jpg,83_2.jpg,left,right,0.65,IT,f01,1,2,0.5281058020000273,0.8324333700002171,Image2,1.0,1.0,0.75,behavior,310.416854696,316.4331523999999,320.19952462599986,1.0,4,3,5,12,Image2,1.0,1.0,0.5281058020000273
44,2,159_1.jpg,159_2.jpg,159_3.jpg,-0.065405304,0.668880629,-0.019457609,-0.003596128,0.15060363300000001,0.036593739,backpack,wasp,sweatsuit,container,animal,clothing,0.154199761,0.734285933,im2,im2,right,159_3.jpg,159_2.jpg,left,left,0.65,IT,f01,1,2,0.4880290060000334,0.6328855950000616,Image2,1.0,1.0,0.75,behavior,326.216635149,335.2332491540001,341.99940224400007,1.0,7,6,5,12,Image2,1.0,1.0,0.4880290060000334
45,2,148_1.jpg,148_2.jpg,148_3.jpg,-0.044076427,0.566209426,0.109871267,0.23939075,0.089832173,0.098511316,stingray,cucumber,seal,animal,vegetable,animal,-0.14955857700000005,0.6102858529999999,im2,im1,left,148_2.jpg,148_3.jpg,right,left,0.65,IT,f01,2,2,0.4802981769998951,0.6489541969999664,Image2,1.0,0.0,0.75,behavior,348.0167257349999,354.0332319879999,359.79971452100017,1.0,4,5,4,12,Image2,1.0,0.0,0.4802981769998951
46,2,204_1.jpg,204_2.jpg,204_3.jpg,0.100306561,0.230921853,-0.280581984,0.09823495,0.026289233,0.027991882000000003,bathtub,poodle,soda,container,animal,food,-0.071945717,0.130615292,im2,im1,left,204_2.jpg,204_3.jpg,right,left,0.65,IT,f01,1,2,0.40047986900026444,0.7209096299998237,Image1,0.0,1.0,0.75,behavior,364.8166988920002,369.83303261699984,374.60018076000006,0.0,3,4,5,12,Image1,0.0,1.0,0.40047986900026444
47,2,152_1.jpg,152_2.jpg,152_3.jpg,-0.066594628,0.669948381,-0.123473594,0.060367767999999995,0.011014963999999999,0.048846136,cigarette,birdhouse,ladybug,Unclassified,Unclassified,animal,-0.04935280400000001,0.736543009,im2,im1,left,152_2.jpg,152_3.jpg,right,left,0.65,IT,f01,1,2,0.3849477929998102,0.7371708430000581,Image1,0.0,1.0,0.75,behavior,380.61640436900007,388.6326635380001,392.3999931359999,0.0,6,3,2,12,Image1,0.0,1.0,0.3849477929998102
48,2,145_1.jpg,145_2.jpg,145_3.jpg,-0.144367569,0.461842605,0.124373098,0.063907178,0.16332405,0.09222289800000001,turntable,poppy,paper_plate,Unclassified,plant,Unclassified,0.09941687199999999,0.606210174,im2,im2,left,145_2.jpg,145_3.jpg,right,right,0.65,IT,f01,2,1,0.424565136000183,0.5776129240002774,Image2,1.0,0.0,0.75,behavior,395.4159893679998,403.4329404959999,407.20005533699987,1.0,6,3,5,12,Image2,1.0,0.0,0.424565136000183
49,2,234_1.jpg,234_2.jpg,234_3.jpg,0.013917156000000002,0.504681728,0.187812493,0.026041381000000002,0.10746364900000001,0.019547835,sandal,oar,suit,Unclassified,Unclassified,clothing,0.08142226799999999,0.490764572,im2,im2,right,234_3.jpg,234_2.jpg,left,left,0.65,IT,f01,1,2,0.4321595609999349,0.6169058790001145,Image2,1.0,1.0,0.75,behavior,413.21677219599997,421.2330901340001,427.999522783,0.0,6,6,3,12,Image2,1.0,1.0,0.4321595609999349
50,3,249_1.jpg,249_2.jpg,249_3.jpg,0.043924124,0.654273248,0.35596642,0.019237359,0.16974724300000002,0.056648252,bike,deodorant,bike,container,Unclassified,container,0.15050988399999998,0.610349124,im2,im2,left,249_2.jpg,249_3.jpg,right,right,0.65,V2,f01,2,2,0.5468596880000405,0.5480336709997573,Image2,1.0,0.0,0.75,behavior,1.0166866479999044,5.0336717329996645,7.8000552949997655,1.0,2,2,2,11,Image2,1.0,0.0,0.5468596880000405
